line,base,situation,ab_actions,category,regular_actions,reason
乘用车,客户阶段 = 新增,疑似失联 / 有风险的第三方替名贷款 / 欺诈客户 / 客户私自处置车辆 / 其他原因拒不还款,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
核实情况（ACT125）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）",外呼（ACT001/ACT011/ACT012/ACT013）,"协调经销商督促客户保存回访号码（ACT013）-区域（ROLE001）
AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 委外阶段,客户暂时还款困难希望变更还款计划,发送工单给委外催收管理（委外阶段贷后业务办理）（ACT131）-客服中心（ROLE002）,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 委外阶段,客户暂时还款困难希望变更还款计划,发送工单给委外催收管理（委外阶段贷后业务办理）（ACT131）-客服中心（ROLE002）,客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 诉讼阶段,客户暂时还款困难希望变更还款计划,发送工单给诉讼管理（诉讼阶段贷后业务办理）（ACT132）-客服中心（ROLE004）,人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 诉讼阶段,客户暂时还款困难希望变更还款计划,发送工单给诉讼管理（诉讼阶段贷后业务办理）（ACT132）-客服中心（ROLE004）,诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 诉讼阶段,客户暂时还款困难希望变更还款计划,发送工单给诉讼管理（诉讼阶段贷后业务办理）（ACT132）-客服中心（ROLE004）,秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,（客户阶段 = 存量 OR 已逾期）AND 未进入委外阶段,客户私自处置车辆 AND 无能力还款,申请委外（ACT126）-客服中心（ROLE003）,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,（客户阶段 = 存量 OR 已逾期）AND 未进入委外阶段,客户私自处置车辆 AND 无能力还款,申请委外（ACT126）-客服中心（ROLE003）,客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
