动作编码,卡片类型,统一动作,动作大类,原始动作数量,出现次数,涉及角色,来源sheet
ACT001,常规,AI外呼,外呼（ACT001/ACT011/ACT012/ACT013）,1,29,客服中心,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT002,常规,专项处置,专项处置（ACT002）,1,1,资管,乘用车-常规贷后动作
ACT003,常规,人工发催收施压+律师函提醒短信,人工发催收施压+律师函提醒短信（ACT003）,1,3,客服中心,乘用车-常规贷后动作
ACT004,常规,人工发催收施压短信（申请上门、诉讼）,人工发催收施压短信（申请上门、诉讼）（ACT004）,1,3,客服中心,乘用车-常规贷后动作
ACT005,常规,人工发客户卡号短信,人工发客户卡号短信（ACT005）,1,3,客服中心,乘用车-常规贷后动作
ACT006,常规,人工发征信提醒及征信影响短信+提醒保证人短信,人工发征信提醒及征信影响短信+提醒保证人短信（ACT006）,2,4,客服中心,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-非担保） 
ACT007,常规,人工发送催收短信,人工发送催收短信（ACT007）,1,2,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（轻卡-燃油） 
ACT008,常规,人工发送回访短信,人工发送回访短信（ACT008）,2,3,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-燃油） 
ACT009,常规,人工发送还款提醒短信,人工发送还款提醒短信（ACT009）,1,3,客服中心,乘用车-常规贷后动作
ACT010,常规,人工发锁车短信,人工发锁车短信（ACT010）,1,3,客服中心,乘用车-常规贷后动作
ACT011,常规,人工外呼（催收）,外呼（ACT001/ACT011/ACT012/ACT013）,1,6,客服中心,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT012,常规,人工外呼（回访）,外呼（ACT001/ACT011/ACT012/ACT013）,1,26,客服中心,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT013,常规,协调经销商督促客户保存回访号码,外呼（ACT001/ACT011/ACT012/ACT013）,1,3,区域,乘用车-常规贷后动作
ACT014,常规,反馈区域,反馈区域（ACT014）,1,3,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-燃油） 
ACT015,常规,发送律师函,发送律师函（ACT015）,2,6,客服中心,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT016,常规,发送邮件至法律合规部，确认是否解锁,发送邮件至法律合规部，确认是否解锁（ACT016）,1,1,客服中心,商用车-常规贷后动作（中重卡-担保）
ACT017,常规,委外作业督导,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,1,4,区域,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT018,常规,委外派单及工作跟踪,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,1,2,委外催收管理,乘用车-常规贷后动作
ACT019,常规,客户梳理并制定下一步催收动作,客户梳理并制定下一步催收动作（ACT019）,1,2,委外催收管理,乘用车-常规贷后动作
ACT020,常规,提交委外电催申请,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,1,2,客服中心,乘用车-常规贷后动作
ACT021,常规,收车,收车（ACT021）,1,1,资管,乘用车-常规贷后动作
ACT022,常规,梳理发函清单并发送至区域,发函（ACT022/ACT025）,1,1,客服中心,商用车-常规贷后动作（中重卡-担保）
ACT023,常规,梳理并发送委外清单至区域,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,1,4,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT024,常规,梳理并发送诉讼清单至区域,诉讼（ACT024/ACT033）,1,4,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT025,常规,梳理未发函清单并发送至区域,发函（ACT022/ACT025）,1,1,客服中心,商用车-常规贷后动作（中重卡-担保）
ACT026,常规,梳理未锁车清单并发送至区域,锁车（ACT026/ACT027/ACT037）,1,1,客服中心,商用车-常规贷后动作（中重卡-担保）
ACT027,常规,梳理锁车清单并发送至区域,锁车（ACT026/ACT027/ACT037）,1,3,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） 
ACT028,常规,督促履行经销商担保责任,督促履行经销商担保责任（ACT028）,3,8,区域；资管,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT029,常规,秉正调解,秉正调解（ACT029）,1,1,诉讼管理,乘用车-常规贷后动作
ACT030,常规,移交非担保模式,移交非担保模式（ACT030）,1,1,区域,商用车-常规贷后动作（中重卡-担保）
ACT031,常规,落实经销商垫款,落实经销商垫款（ACT031）,1,1,区域,商用车-常规贷后动作（中重卡-担保）
ACT032,常规,解锁,解锁（ACT032）,1,6,客服中心,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） 
ACT033,常规,诉讼执行,诉讼（ACT024/ACT033）,1,1,诉讼管理,乘用车-常规贷后动作
ACT034,常规,质检合作机构催收落实情况,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,1,4,客服中心,商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT035,常规,车辆处置,车辆处置（ACT035）,1,5,车辆管理,乘用车-常规贷后动作；商用车-常规贷后动作（中重卡-担保）；商用车-常规贷后动作（中重卡-非担保） ；商用车-常规贷后动作（轻卡-新能源） ；商用车-常规贷后动作（轻卡-燃油） 
ACT036,常规,通报M2以上客户催收措施情况,通报M2以上客户催收措施情况（ACT036）,1,1,客服中心,商用车-常规贷后动作（中重卡-非担保） 
ACT037,常规,锁车,锁车（ACT026/ACT027/ACT037）,1,3,客服中心,乘用车-常规贷后动作
ACT100,异常,人工外呼（异常处置）,人工外呼（异常处置）（ACT100）,1,3,客服中心,乘用车-异常处置动作
ACT101,异常,协商谈判,协商谈判（ACT101）,1,1,资管,乘用车-异常处置动作
ACT102,异常,反馈资管,反馈资管（ACT102）,1,1,客服中心/委外催收管理/诉讼管理,乘用车-异常处置动作
ACT103,异常,发送工单给区域（制定下步措施）,发送工单给区域（制定下步措施）（ACT103）,1,2,客服中心,商用车-异常处置动作（轻卡-新能源）  
ACT104,异常,发送工单给区域（协调经销商告知客户回访计划）,发送工单给区域（协调经销商告知客户回访计划）（ACT104）,2,4,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT105,异常,发送工单给区域（协调经销商督促客户保存回访号码）,发送工单给区域（协调经销商督促客户保存回访号码）（ACT105）,2,7,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT106,异常,发送工单给区域（反馈异常客户与异常台帐）,发送工单给区域（反馈异常客户与异常台帐）（ACT106）,1,3,客服中心,乘用车-异常处置动作
ACT107,异常,发送工单给区域（失联修复）,发送工单给区域（失联修复）（ACT107）,3,12,客服中心,乘用车-异常处置动作；商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT108,异常,发送工单（委外上门）,发送工单（委外上门）（ACT108）,1,4,客服中心,商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  
ACT109,异常,发送工单给区域（委外电催）,发送工单给区域（委外电催）（ACT109）,2,3,客服中心,商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT110,异常,发送工单给区域（收车）,发送工单给区域（收车）（ACT110）,4,12,客服中心,商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT111,异常,发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）,发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）（ACT111）,7,22,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT112,异常,发送工单给区域（督促经销商履行担保责任）,发送工单给区域（督促经销商履行担保责任）（ACT112）,1,12,客服中心,商用车-异常处置动作（中重卡-担保） 
ACT113,异常,发送工单给区域（联合经销商制定风险化解方案）,发送工单给区域（联合经销商制定风险化解方案）（ACT113）,1,2,客服中心,商用车-异常处置动作（中重卡-担保） 
ACT114,异常,发送工单给区域（联系客户，处理投诉）,发送工单给区域（联系客户，处理投诉）（ACT114）,2,19,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT115,异常,发送工单（诉讼）,发送工单（诉讼）（ACT115）,1,6,客服中心,商用车-异常处置动作（中重卡-非担保）  ；商用车-异常处置动作（轻卡-新能源）  ；商用车-异常处置动作（轻卡-燃油）  
ACT116,异常,委外派单及工作跟踪,委外派单及工作跟踪（ACT116）,1,2,委外催收管理,乘用车-异常处置动作
ACT117,异常,收集客户办理贷后业务（延期一、延期二）需求，发送工单给区域,收集客户办理贷后业务（延期一、延期二）需求，发送工单给区域（ACT117）,2,2,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  
ACT118,异常,收集客户办理贷后业务（延期一）需求，发送工单给区域,收集客户办理贷后业务（延期一）需求，发送工单给区域（ACT118）,2,2,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  
ACT119,异常,收集客户办理贷后业务（延期还款、贷款重组、利息减免）需求，发送工单给区域,收集客户办理贷后业务（延期还款、贷款重组、利息减免）需求，发送工单给区域（ACT119）,1,2,客服中心,商用车-异常处置动作（轻卡-新能源）  
ACT120,异常,收集客户办理贷后业务（延期还款、非标延期、利息减免）需求，发送工单给区域,收集客户办理贷后业务（延期还款、非标延期、利息减免）需求，发送工单给区域（ACT120）,1,3,客服中心,商用车-异常处置动作（轻卡-燃油）  
ACT121,异常,收集客户办理贷后业务（贷款重组、利息减免、消保基金）需求，发送工单给区域,收集客户办理贷后业务（贷款重组、利息减免、消保基金）需求，发送工单给区域（ACT121）,1,1,客服中心,商用车-异常处置动作（轻卡-新能源）  
ACT122,异常,收集客户办理贷后业务（非标延期、利息减免）需求，发送工单给区域,收集客户办理贷后业务（非标延期、利息减免）需求，发送工单给区域（ACT122）,1,1,客服中心,商用车-异常处置动作（轻卡-燃油）  
ACT123,异常,收集客户办理贷后业务（非标延期）需求，发送工单给区域,收集客户办理贷后业务（非标延期）需求，发送工单给区域（ACT123）,3,3,客服中心,商用车-异常处置动作（中重卡-担保） ；商用车-异常处置动作（中重卡-非担保）  
ACT124,异常,收集客户贷后业务（延期二）办理需求，发送工单给区域,收集客户贷后业务（延期二）办理需求，发送工单给区域（ACT124）,1,1,客服中心,商用车-异常处置动作（中重卡-担保） 
ACT125,异常,核实情况,核实情况（ACT125）,1,1,客服中心,乘用车-异常处置动作
ACT126,异常,申请委外,申请委外（ACT126）,1,1,客服中心,乘用车-异常处置动作
ACT127,异常,登记台帐,登记台帐（ACT127）,1,1,客服中心,乘用车-异常处置动作
ACT128,异常,诉讼执行,诉讼执行（ACT128）,1,3,诉讼管理,乘用车-异常处置动作
