原始动作,统一动作,动作编码,卡片类型,角色,角色编码,来源sheet,出现次数
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,乘用车-常规贷后动作,14
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,5
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,4
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,2
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,4
专项处置,专项处置,ACT002,常规,资管,ROLE005,乘用车-常规贷后动作,1
人工发催收施压+律师函提醒短信,人工发催收施压+律师函提醒短信,ACT003,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发催收施压短信（申请上门、诉讼）,人工发催收施压短信（申请上门、诉讼）,ACT004,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发客户卡号短信,人工发客户卡号短信,ACT005,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发征信提醒及征信影响短信+提醒保证人短信,人工发征信提醒及征信影响短信+提醒保证人短信,ACT006,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
发送征信提醒及征信影响短信+提醒保证人短信,人工发征信提醒及征信影响短信+提醒保证人短信,ACT006,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
人工发送催收短信,人工发送催收短信,ACT007,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
人工发送催收短信,人工发送催收短信,ACT007,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
人工发送回访短信,人工发送回访短信,ACT008,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
人工回访短信,人工发送回访短信,ACT008,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
人工回访短信,人工发送回访短信,ACT008,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
人工发送还款提醒短信,人工发送还款提醒短信,ACT009,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发锁车短信,人工发锁车短信,ACT010,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,乘用车-常规贷后动作,15
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,3
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,3
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,2
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,3
协调经销商督促客户保存回访号码,协调经销商督促客户保存回访号码,ACT013,常规,区域,ROLE001,乘用车-常规贷后动作,3
反馈区域,反馈区域,ACT014,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
反馈区域,反馈区域,ACT014,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
反馈区域,反馈区域,ACT014,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
发律师函,发送律师函,ACT015,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
发送律师函,发送律师函,ACT015,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
发送律师函,发送律师函,ACT015,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
发送律师函,发送律师函,ACT015,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
发送邮件至法律合规部，确认是否解锁,发送邮件至法律合规部，确认是否解锁,ACT016,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-担保）,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-非担保） ,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（轻卡-新能源） ,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（轻卡-燃油） ,1
委外派单及工作跟踪,委外派单及工作跟踪,ACT018,常规,委外催收管理,ROLE002,乘用车-常规贷后动作,2
客户梳理并制定下一步催收动作,客户梳理并制定下一步催收动作,ACT019,常规,委外催收管理,ROLE002,乘用车-常规贷后动作,2
提交委外电催申请,提交委外电催申请,ACT020,常规,客服中心,ROLE003,乘用车-常规贷后动作,2
收车,收车,ACT021,常规,资管,ROLE005,乘用车-常规贷后动作,1
梳理发函清单并发送至区域,梳理发函清单并发送至区域,ACT022,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理并发送委外清单至区域,梳理并发送委外清单至区域,ACT023,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
