相关课题/部门,跟踪事项,事项类型,提出领导,落实情况
01. 构建行业领先的 “新一代” 汽车金融系统,尽快锁定本次变更需求，稳定版本，完成合同签署；及时分析各课题与新一代的关联性影响，做好变更管理，保障当前阶段能够按时交付。,指摘,李化,"1、本阶段机构客户需求涉及已于5月15日完成需求定版。
2、新一代核心的里程碑任务于其他各课题关系已完成分析和梳理。1、本阶段机构客户需求涉及已于5月15日完成需求定版。
2、新一代核心的里程碑任务于其他各课题关系已完成分析和梳理。"
01. 构建行业领先的 “新一代” 汽车金融系统,监管报送相关需求设计需提前与会计团队充分沟通。,建议,文虎,监管报送需求已与风险管理部数据运营团队和会计团进行沟通，本阶段暂不涉及财务监管报送的调整，仅需在UAT阶段完成报送数据的验证回归测试。监管报送需求已与风险管理部数据运营团队和会计团进行沟通，本阶段暂不涉及财务监管报送的调整，仅需在UAT阶段完成报送数据的验证回归测试。
02. 贷后资产管理体系和统一贷后业务系统的建设,已上线的车辆管理系统要尽快应用于业务管理中，加速推进数据对接。,建议,何修华,与研发总院、奕派推进数据授权。与研发总院、奕派推进数据授权。
02. 贷后资产管理体系和统一贷后业务系统的建设,针对已上线的车辆管理系统，需持续关注并收集实际业务场景中的优化需求。,建议,曹远胜,持续收集业务中的建议与需求，相关改进计划保持沟通，部分改进已经上线。持续收集业务中的建议与需求，相关改进计划保持沟通，部分改进已经上线。
02. 贷后资产管理体系和统一贷后业务系统的建设,建议将联合整改相关要求纳入本课题的后续系统开发计划中。,建议,费俊卿,联合整改与系统开发相关内容作为需求输入，将在实施中落实联合整改与系统开发相关内容作为需求输入，将在实施中落实
03. 统一客服平台及直营数字化,抓紧推进POC测试，尽快就其是否具有不可替代性向何总汇报，并升级汇报相关决策。,指摘,李化,已完成POC测试，基于评价维度完成对供应商的评价，评价结果已向何总汇报
03. 统一客服平台及直营数字化,针对智能客服招采计划延期风险，建议采取灵活策略，评估是否可仅单独采购其语音模块，并配合其他供应商的产品组合使用，以在实现技术需求的同时，规避风险、保障项目进度。,建议,曹希,已完成，首次招采于22号结束，因无候选供应商，二次招采将于17号招标
04. 完善落地 “四位一体” 机制，打造金融服务护城河，提升产融协同及金融促销的延续性和黏性,课题组应以解决问题为目标，建立汽金与主机厂高层的多元灵活沟通机制。,指摘,李化,"落实集团关于东风汽金批发全覆盖方面
1、组织高层的季度会议，对品牌批发推进情况、渠道网络发展规划、新车型上市专项支持进行了沟通确认，乘/商营销部结合品牌需求、调查能力、系统及流程优化方向、人员支持等进行了梳理，并向公司领导汇报，并批发推进信息同步集团和品牌
2、公司高层参加品牌新车型上市会（岚图泰山X8、猛士新款817、6月奕派M8等）针对新车上市前线上线下宣传、增加曝光、保客营销、定制化金融产品（捉虫车、试驾车、定制贷等）、促销金融产品（2-3年免息、5年低首付长周期低息产品）等
3、东汽金-品牌高层的季度会议；新车型上市专项沟通会、集团金融1V1会议、集团运营分析会等 "
05. 二手车业务模式破局与规模化启动,课题组后续应加速推进展业，通过规模化验证模式，为进一步扩大业务规模打好基础。,指摘,李化,"1. 整体推进情况：
已同岚图主机厂就当前业务情况完成沟通，具体情况如下。
（1）【批发】岚图批发每月预计下线数量为 300 台，暂时未达到此前会议提及的单月 1000 台。
（2）【批发】岚图二手车部考核以开票为标准，根据当前汽金三方协议约定，需还清批发款项并完成赎证后，品牌方可开票，该规则与新车存在差异，新车采用合格证质押模式，因此品牌以全款购车为主要批售方式。
（3）【零售】直营板块：目前全国共有 5 个城市展厅（武汉、成都、天津、深圳、杭州），单月销量为 70 台至 100 台，金融渗透率约 10%。本月计划为直营门店申请到店礼品，提升品牌合作粘性，后期分阶段性开展积分奖励，提升销售开口率。
（4）【零售】生态板块：目前业务以转批发为主。本月将组织区域培训，加强零售业务推广。
（5）待流程堵点优化完成后，计划同AITO进行模式复制，完成模式验证。"
06. 进一步探索海外金融业务,课题组加快推进课题，确保2026年完成超10家海外合作金融机构签约，白标合作银行覆盖率达25%。,建议,刘应田,"1.合作签约银行数方面：全年累计目标数为13家，目前已实现12家；正在推进巴西子公司潜在合作银行的对接工作，已收到2家银行的初步合作建议；
2.目前正在推进越南子公司的星展应收账款保理业务，计划6月份落地，达成25%的业务覆盖率；.白标合作银行覆盖率方面：意大利业务已在1季度落地并逐步走向正轨。"
07. 构建数智化风控体系,建议课题组加速推进项目，尽量错峰避开6月30日各系统集中上线高峰期，以降低资源冲突与整体风险。,指摘,李化,"1.5月份已提前启动零售个人机器学习模型咨询，瓦城专家访谈及数据清洗和业务基本面分析
2.智能风控平台3个功能模块均将上线试运行计划提前至6月中旬，避开630上线高峰。"
08. 构建数字化运营能力体系,建议针对毛利、净利等关键经营指标的展示，采取能快速实现的方案，以优先满足业务部门的迫切需求。,建议,黎嵘,"1.整体思路：以经营管理使用需求为主，在宽表基础上建设经营管理聚合表格。
2.工作机制：单独针对毛利、净利核算建立每周进展同步的周会机制；
3.目前进展：初步完成宽表字段梳理和解读，并要求IT以6.30日完成全部三级表单建设为目标，倒排里程碑。1.整体思路：以经营管理使用需求为主，在宽表基础上建设经营管理聚合表格。
2.工作机制：单独针对毛利、净利核算建立每周进展同步的周会机制；
3.目前进展：初步完成宽表字段梳理和解读，并要求IT以6.30日完成全部三级表单建设为目标，倒排里程碑。"
09. 打造数字化营销矩阵,指出课题关键在建设我司独立的获客能力，通过新媒体营销、无感金融等方式赋能主机厂销售；鼓励积极发动公司内部力量，强化直播引流与转化能力。,指摘,李化,"1. 与乘用车营销服务部品牌团队共同推动奕境保客营销预售金融权益联合营销；
2. 与消保中心共创“消保合规宣传”栏目内容，并参与北京金融监管局办公室开展的《2026年防范非法金融活动短视频征集大赛》；
3.计划将于6月上线“揭秘汽金”栏目，以通俗易懂方式向用户展示业务流程和运行机制，提升品牌形象，首期将与信贷审批部联合共创。
4.通过微信公众号发布推文（同步上线公众号菜单、小程序），开展“岚图泰山X8上市”、“岚图梦想家、泰山、追光忠客专项金融产品”、“雪铁龙品牌周年庆”联合营销活动，其中岚图忠客产品营销共收集线索368条，筛选高意向客户2、中意向客户3，已下发至区域至经销商进行后续跟进。"
09. 打造数字化营销矩阵,肯定课题组采取的新媒体独立运营方式，后续逐步对接集团建设统一营销平台，支持更灵活的联合营销与线索转化模式。,建议,曹希,"1. 已参与集团线索管理平台搭建项目，梳理前置金融数字化营销流程，后续汽金作为集团增量线索来源奠定基础
2. 已完成联合营销活动公众号粉丝引流机制建立。"
10. AI 数字化员工,可组织提升公司全体员工使用AI的意识并进行使用培训与宣导。,指摘,李化,计划6月开展一次全员 AI 培训。
10. AI 数字化员工,课题组可主动与乘、商用车营销服务部、信贷审批部等部门沟通，协同帮助业务梳理AI需求；,指摘,李化,"1、推广ITBP机制，已与信贷审批部建立部门级交流机制，跟踪需求开发、课题建设等。
2、计划与乘/商营销服务部建立部门级交流机制，主动了解一线技术手段支撑、需求开发诉求等。"
10. AI 数字化员工,课题组应加快推进速度，与业务部门共创数字人，同时希望业务部门积极参与设计AI应用需求工作。,建议,陈明垓,"1. 后续开展需求收集工作时，将指导业务部门使用工具和模型，引导客户参与共创。

2. 完成内部 API 的权限管理与调用量管控功能开发后，将在可控范围内开放内部大模型 API 供用户试用"
信息科技部,信息科技部主动组织与乘、商用车营销服务部、信贷审批部等部门沟通，协同帮助业务梳理AI需求；,指摘,李化,"1、推广ITBP机制，已与信贷审批部建立部门级交流机制，跟踪需求开发、课题建设等。
2、计划与乘/商营销服务部建立部门级交流机制，主动了解一线技术手段支撑、需求开发诉求等。"
信息科技部,鉴于当前系统开发资源紧张，信息科技部需与各业务部门对齐，明确近期需求清单与计划。,指摘,李化,"1、需求开发计划及进展每周以周报形式同步业务部门，并抄送李化总；
2、推广ITBP机制，已与信贷运营部建立部门级交流机制，跟踪需求开发、课题建设等。"
信息科技部,“新一代”课题存在供应商人员流动的风险，请信息科技部关注核心供应商人员流失问题。,建议,曹希,5月28日双方高层领导会晤交流，形成待办并协同推进，6月10日回顾待办推进进展。
综合管理部（党群工作部）,要求综合管理部关注并落实集团对各成员单位无条件支持海外事业的要求，特别的，需将外语能力纳入考核维度，为汽金及集团储备出海人才。,指摘,李化,招录应届生时将外语能力列为重点关注项，结合分层分类储备机制，择优筛选海外业务储备人才
综合管理部（党群工作部）,海外金融课题组目前人员紧张问题凸显，请综合管理部协调补充具备专业素质与相应外语能力的人员。,建议,曹希,调配2名兼具专业素养与一定外语能力人员支援海外金融课题组，协同开展海外金融相关业务
资产管理部,邀请信息科技部与课题组一同关注、了解微众银行的智能外呼应用情况。,建议,费俊卿,后续由费总牵头安排
