指标名称,数值,说明
里程碑总体完成率-Q2TD,96.55%,已完成56个/总计58个
系统建设相关里程碑完成率-Q2TD,100.00%,已完成30个/总计30个
提前完成里程碑数量-Q2,25,2026-Q2季度提前完成
里程碑总体完成率-本月,92.86%,已完成26个/总计28个
本月总里程碑数量,28,
本月完成里程碑数量,26,
本月延期里程碑数量,2,
本月提前完成里程碑数量,13,
各课题里程碑完成率-本月,,按所属项目分组
"01. 构建行业领先的 ""新一代"" 汽车金融系统",100.00%,中度风险
06. 进一步探索海外金融业务,100.00%,正常推进
03. 统一客服平台及直营数字化,100.00%,正常推进
08. 构建数字化运营能力体系,100.00%,轻微风险
02. 贷后资产管理体系和统一贷后业务系统的建设,100.00%,轻微风险
07. 构建数智化风控体系,100.00%,轻微风险
10. AI 数字化员工,100.00%,正常推进
09. 打造数字化营销矩阵,100.00%,正常推进
05. 二手车业务模式破局与规模化启动,100.00%,正常推进
"04. 完善落地 ""四位一体"" 机制，打造金融服务护城河，提升产融协同及金融促销的延续性和黏性",50.00%,轻微风险
